brand,video_id,video_title,channel,published_at,view_count,comment_count,text,flagged_signals,type
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,WHAT WERE THE POLICE DOING,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,Dude was up after his bedtime,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,This is where Caseoh goes after his streams every night,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,THE WAFFLE HOUSE HAS FOUND ITS NEW HOST🔥🔥🔥,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"""Then I found a jukebox and then the police came"" was the funniest line ever",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,Not a single chair thrown?! where is this?!,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"Off topic, but their Texas Bacon Cheese Steaks are SOOOO GOOD
(Fantastic video btw man. I love your videos!)",love,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,used to work at one was fun and shit was chaotic on sundays but every other shift was chill even holidays,,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"OGs remember when everyone would type ""The Waffle House has found its new host""",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,"The zoom-in into his face as he says ""hits different""  hits different",,comment
GT's Living Foods,VL4TfEPtmkE,I Tested Waffle House After Midnight,Addie Bowley,2025-07-13T19:00:24Z,10475543,1259,I Tested Waffle House After Midnight,,video_title
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Its so happy seeing you guys feed a poor guy some food. Really appreciate it man!,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,You guys are generous for helping the homeless.,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,The Beast was hungry i guess 😂,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,its so nice to see you supporting smaller creators on your channel,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,He’s having the time of his life 😂❤,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,"Mr.Beast❌️
Mr.Feast✅️",,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,"Bro was hungry 😂😂(idk what I said to offend people, didn’t know people from shorts were so soft)",,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Feeding Homeless... We love that❤,love,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,thanks for the likes :D,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,It’s so good to feed the community especially this poor man.,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Your Best comercial yet and the fact that he enjoyed it is even better😊,best,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,"I just made mine at home with tram sauce and everything, loved it mate",love,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,glad to see you helping out such small content creators!,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Jimmy looks so happy and wholesome enjoying his food ☺❤,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Damn looks so good 😋 (thanks for the likes),,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,mr beast doing side quests,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Thanks for helping out the poor 🙏,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,He looks like 5 year old me after getting Mac and cheese😭😭😭,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,"I really want a spud so bad brooo edit:just made myself a spud it was delicious and please stop commenting make it urself ,thanks for 1k likes !👍!",,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,Im really grateful consideration is still alive 🙏,,comment
GT's Living Foods,B0gKGB8dxgc,MR BEAST TASTE TESTING A SPUD 😱,SpudBros,2025-03-25T17:23:51Z,10274139,1963,MR BEAST TASTE TESTING A SPUD 😱,,video_title
GT's Living Foods,BdJzpr7BHwE,GT&#39;S ALIVE ROOT BEER ANCIENT MUSHROOM ELIXIR REVIEW,subscribe if i helped you :),2025-03-31T00:02:30Z,382,1,GT&#39;S ALIVE ROOT BEER ANCIENT MUSHROOM ELIXIR REVIEW,,video_title
GT's Living Foods,FEPIpaniVl4,Do Largemouth Bass TASTE GOOD?!  #fishing,BDBassin,2025-01-10T23:03:06Z,216376,507,As a fisherman from southern Louisiana bass taste amazing,,comment
GT's Living Foods,FEPIpaniVl4,Do Largemouth Bass TASTE GOOD?!  #fishing,BDBassin,2025-01-10T23:03:06Z,216376,507,"Bass is some good ass fish, usually try to release more than keeping to eat but sometimes especially with buddies we gotta catch one to fry and eat",,comment
GT's Living Foods,FEPIpaniVl4,Do Largemouth Bass TASTE GOOD?!  #fishing,BDBassin,2025-01-10T23:03:06Z,216376,507,"I don’t care who hates on me, but I freaking love bass",love|hate,comment
GT's Living Foods,FEPIpaniVl4,Do Largemouth Bass TASTE GOOD?!  #fishing,BDBassin,2025-01-10T23:03:06Z,216376,507,As a fisherman from south Alabama they are bussin,,comment
GT's Living Foods,FEPIpaniVl4,Do Largemouth Bass TASTE GOOD?!  #fishing,BDBassin,2025-01-10T23:03:06Z,216376,507,Bass taste amazing I don't get why people won't eat a bass but they will eat a tilapia or catfish or a tuna.,,comment
